User_ID,User_Sequence,Unique_ID,Element_1,Element_2,Element_3,Element_4,Element_5
1,1,1,0,1,1,1,1
1,1,1,0,1,0,1,1
3,4,5,0,1,1,1,1
3,4,5,0,1,1,0,1
3,4,5,0,1,0,0,1
3,4,5,0,0,0,0,1
3,4,5,0,0,0,0,0
3,4,5,0,1,0,0,0
3,4,5,1,1,0,0,0
9901,4,8801,0,0,1,1,1
9901,4,8801,0,0,0,1,1
9901,4,8801,0,0,0,0,1
9901,4,8801,0,0,0,0,0
9901,4,8801,0,1,0,0,0
9901,4,8801,0,0,0,0,0
9901,4,8801,1,0,0,0,0
9901,4,8801,1,0,1,1,1
9901,4,8801,1,0,1,0,1
9901,4,8801,1,0,0,0,1
9901,4,8801,1,1,0,1,1
9901,4,8801,1,0,0,1,1
2201,4,2201,0,0,0,1,1
2201,4,2201,0,1,1,1,1
2201,4,2201,0,1,0,1,1
2201,4,2201,0,1,0,0,1
2201,4,2201,1,0,1,1,1
2201,4,2201,0,0,1,1,1
2201,4,2201,0,1,1,1,1
2201,4,2201,0,0,1,1,1
2201,4,2201,0,0,1,0,1
2201,4,2201,0,0,0,0,1
2201,4,2201,0,0,0,0,0
2201,4,2201,0,0,1,0,0
2201,4,2201,0,0,0,0,0
2201,4,2201,0,0,1,0,0
2201,4,2201,0,0,0,0,0
2201,4,2201,0,1,0,0,0
2201,4,2201,0,0,0,0,0
2201,4,2201,1,0,0,0,0
2201,4,2201,1,0,0,0,1
2201,4,2201,1,0,0,1,1
2201,4,2201,1,0,1,1,1
2201,4,2201,1,1,1,1,1
2201,4,2201,0,1,1,1,1
2201,4,2201,0,0,1,1,1
2201,4,2201,0,1,1,1,1
2201,4,2201,0,1,0,1,1
2201,4,2201,0,1,1,1,1
2201,4,2201,0,1,0,1,1
2201,4,2201,0,1,0,1,0
2201,4,2201,0,1,0,1,1
2201,4,2201,0,1,1,1,1
2201,4,2201,0,0,1,1,1
2201,4,2201,1,0,1,1,1
2201,4,2201,1,0,1,0,1
2201,4,2201,1,1,1,0,1
2201,4,2201,1,1,1,1,1
2201,4,2201,0,1,1,1,1
2201,4,2201,0,0,1,1,1
2201,4,2201,0,0,1,0,1
2201,4,2201,0,0,1,0,0
2201,4,2201,0,1,1,1,1
2201,4,2201,0,0,1,1,1
2201,4,2201,0,0,0,1,1
2201,4,2201,0,0,0,0,1
2201,4,2201,0,0,0,0,0
2201,4,2201,0,1,0,0,0
2201,4,2201,0,1,1,0,0
2201,4,2201,0,1,1,1,0
2201,4,2201,1,1,1,1,0
2201,4,2201,0,1,1,1,1
2201,4,2201,0,0,1,1,1
2201,4,2201,0,0,0,1,1
2201,4,2201,0,0,0,0,1
2201,4,2201,0,0,0,0,0
2201,4,2201,0,0,0,1,0
2201,4,2201,0,0,1,1,0
2201,4,2201,0,0,0,1,0
2201,4,2201,0,1,0,1,0
2201,4,2201,1,1,0,1,0
2201,4,2201,1,1,0,0,0
2201,4,2201,0,1,0,0,0
2201,4,2201,1,1,1,0,1
2201,4,2201,1,1,1,0,0
2201,4,2201,1,1,0,0,0
2201,4,2201,1,0,0,0,0
2201,4,2201,0,0,0,0,0
2201,4,2201,0,0,1,0,0
2201,4,2201,0,0,1,1,0
2201,4,2201,0,0,1,1,1
2201,4,2201,0,1,0,1,1
2201,4,2201,0,1,1,1,1
2201,4,2201,1,0,1,1,1
2201,4,2201,1,0,0,1,1
2201,4,2201,0,0,0,1,1
2201,4,2201,0,1,1,1,1
2201,4,2201,0,1,0,1,1
2201,4,2201,0,1,0,0,1
2201,4,2201,1,0,1,1,1
2201,4,2201,1,0,1,1,0
2201,4,2201,1,0,1,0,0
2201,4,2201,0,0,1,0,0
2201,4,2201,0,0,0,0,0
2201,4,2201,1,0,1,1,1
2201,4,2201,1,0,0,1,1
2201,4,2201,1,0,0,0,1
2201,4,2201,1,0,0,0,0
2201,4,2201,0,0,0,0,0
2201,4,2201,1,0,0,0,0
2201,4,2201,1,1,0,0,0
2201,4,2201,1,1,1,0,0
2201,4,2201,1,1,1,1,0
2201,4,2201,1,1,1,1,1
2201,4,2201,0,1,1,1,1
2201,4,2201,0,0,1,1,1
2201,4,2201,0,0,0,1,1
2201,4,2201,0,0,0,0,1
2201,4,2201,0,0,0,0,0
2201,4,2201,0,0,0,1,0
2201,4,2201,0,0,1,1,0
2201,4,2201,0,1,1,1,0
2201,4,2201,1,1,1,1,0
2201,4,2201,1,1,1,1,1
2201,4,2201,1,1,1,0,1
2201,4,2201,1,1,0,0,1
2201,4,2201,1,0,0,0,1
2201,4,2201,0,0,0,0,1
2201,4,2201,0,1,1,1,1
2201,4,2201,0,0,1,1,1
2201,4,2201,0,0,0,1,1
2201,4,2201,0,0,0,0,1
2201,4,2201,1,0,1,1,1
2201,4,2201,0,1,1,1,1
2201,4,2201,0,0,1,1,1
2201,4,2201,0,1,1,1,1
2201,4,2201,0,0,1,1,1
2201,4,2201,0,0,0,1,1
2201,4,2201,1,0,1,1,1
2201,4,2201,0,1,1,1,1
2201,4,2201,0,0,1,1,1
2201,4,2201,0,0,1,0,1
2201,4,2201,0,1,1,1,1
2201,4,2201,0,1,0,1,1
2201,4,2201,0,1,1,1,1
2201,4,2201,0,0,1,1,1
2201,4,2201,0,1,1,1,1
2201,4,2201,0,0,1,1,1
2201,4,2201,0,0,0,1,1
2201,4,2201,0,1,1,1,1
2201,4,2201,1,0,1,1,1
2201,4,2201,0,1,1,1,1
2201,4,2201,1,1,0,1,1
2201,4,2201,1,1,0,1,1
2201,4,2201,0,1,1,1,1
2201,4,2201,0,0,1,1,1
2201,4,2201,0,1,1,1,1
